Taxa,Longitud,Latitud
Zea mays subsp. mexicana raza Mesa Central,-101.3,19.90583333
Zea mays subsp. mexicana raza Mesa Central,-101.3177778,19.96222222
Zea mays subsp. mexicana raza Mesa Central,-101.1602778,19.90444444
Zea mays subsp. mexicana raza Mesa Central,-101.1775,20.05416667
Zea mays subsp. mexicana raza Mesa Central,-101.1605556,20.23527778
Zea mays subsp. mexicana raza Mesa Central,-101.2891667,19.99416667
Zea mays subsp. mexicana raza Mesa Central,-101.4694444,20.18944444
Zea mays subsp. mexicana raza Mesa Central,-101.6713889,19.96638889
Zea mays subsp. mexicana raza Mesa Central,-101.9477778,20.24
Zea mays subsp. mexicana raza Mesa Central,-101.9180556,20.0275
Zea mays subsp. mexicana raza Mesa Central,-102.3588889,20.21777778
Zea mays subsp. mexicana raza Mesa Central,-102.2591667,20.145
Zea mays subsp. mexicana raza Mesa Central,-102.3661111,20.15694444
Zea mays subsp. mexicana raza Mesa Central,-102.3544444,19.99444444
Zea mays subsp. mexicana raza Mesa Central,-101.3433333,19.75527778
Zea mays subsp. mexicana raza Mesa Central,-101.4258333,19.89472222
Zea mays subsp. mexicana raza Mesa Central,-101.7236111,19.93305556
Zea mays subsp. mexicana raza Mesa Central,-101.3997222,19.87777778
Zea mays subsp. mexicana raza Mesa Central,-101.3997222,19.87777778
Zea mays subsp. mexicana raza Mesa Central,-101.3997222,19.87777778
Zea mays subsp. mexicana raza Mesa Central,-101.4258333,19.89472222
Zea mays subsp. mexicana raza Mesa Central,-101.3,19.90583333
Zea mays subsp. mexicana raza Mesa Central,-101.9891667,20.08888889
Zea mays subsp. mexicana raza Mesa Central,-101.1575,20.02638889
Zea mays subsp. mexicana raza Mesa Central,-101.17,20.02416667
Zea mays subsp. mexicana raza Mesa Central,-101.4344444,20.09555556
Zea mays subsp. mexicana raza Mesa Central,-101.1602778,19.90444444
Zea mays subsp. mexicana raza Mesa Central,-101.425,19.58472222
Zea mays subsp. mexicana raza Mesa Central,-101.7505556,19.68416667
Zea mays subsp. mexicana raza Mesa Central,-101.9852778,19.79
Zea mays subsp. mexicana raza Mesa Central,-101.9505556,19.80305556
Zea mays subsp. mexicana raza Mesa Central,-101.0702778,19.89527778
Zea mays subsp. mexicana raza Mesa Central,-101.4344444,20.09555556
Zea mays subsp. mexicana raza Mesa Central,-101.2025,19.97166667
Zea mays subsp. mexicana raza Mesa Central,-102.6086111,20.11916667
Zea mays subsp. mexicana raza Mesa Central,-102.6086111,20.11916667
Zea mays subsp. mexicana raza Mesa Central,-102.2591667,20.145
Zea mays subsp. mexicana raza Mesa Central,-102.0869444,20.16083333
Zea mays subsp. mexicana raza Mesa Central,-102.53,20.04944444
Zea mays subsp. mexicana raza Mesa Central,-102.53,20.04944444
Zea mays subsp. mexicana raza Mesa Central,-102.5522222,20.0625
Zea mays subsp. mexicana raza Mesa Central,-102.5522222,20.0625
Zea mays subsp. mexicana raza Mesa Central,-102.3908333,20.02861111
Zea mays subsp. mexicana raza Mesa Central,-102.6086111,20.11916667
Zea mays subsp. mexicana raza Mesa Central,-102.6086111,20.11916667
Zea mays subsp. mexicana raza Mesa Central,-102.4472222,19.97194444
Zea mays subsp. mexicana raza Mesa Central,-102.0875,20.14055556
Zea mays subsp. mexicana raza Mesa Central,-102.2591667,20.145
Zea mays subsp. mexicana raza Mesa Central,-102.0875,20.14055556
Zea mays subsp. mexicana raza Mesa Central,-101.9591667,20.11194444
Zea mays subsp. parviglumis raza Balsas,-101.9063889,19.34055556
Zea mays subsp. parviglumis raza Balsas,-101.9063889,19.34055556
Zea mays subsp. parviglumis raza Balsas,-101.9063889,19.34055556
Zea mays subsp. parviglumis raza Balsas,-101.8830556,19.29
Zea mays subsp. parviglumis raza Balsas,-101.8830556,19.29
Zea mays subsp. parviglumis raza Balsas,-100.9233333,19.5725
Zea mays subsp. parviglumis raza Balsas,-99.05416667,18.97055556
